Company Name,Ticker,Market Cap (mil),Exchange,Month of Fiscal Yr End,Sector,Industry,Optionable,Shares Outstanding (mil),Last Close,Last Yr`s EPS (F0) Before NRI,Last Reported Fiscal Yr  (yyyymm),F1 Consensus Est.,F2 Consensus Est.,Beta,Current Assets  ($mil),Intangibles ($mil),Inventory ($mil),Receivables ($mil),Current Liabilities ($mil),Long Term Debt ($mil),Preferred Equity ($mil),Common Equity ($mil),Book Value,Debt/Total Capital,Debt/Equity Ratio,Current Ratio,Quick Ratio,Cash Ratio,S&P 500 - ETF,Avg Volume,52 Week High,52 Week Low,% Price Change (1 Week),% Price Change (4 Weeks),% Price Change (12 Weeks),% Price Change (YTD),12 Mo Trailing EPS,Last Qtr EPS,Last EPS Report Date (yyyymmdd),Next EPS Report Date  (yyyymmdd),Last Reported Qtr (yyyymm),Actual EPS used in Surprise ($/sh),Avg EPS Surprise (Last 4 Qtrs),Previous EPS Surprise (%),Last EPS Surprise (%),Average Target Price,% Rating Downgrades ,% Rating Upgrades ,% Rating Hold,# Rating Downgrades ,# Rating Upgrades,Change in Avg Rec ,Rank in Industry (of ABR),Industry Rank (of ABR),% Rating Change - 4 Weeks,% Rating Strong Sell or Sell,# Rating Strong Sell or Sell,# Rating Hold,% Rating Strong Buy or Buy,# Rating Strong Buy or Buy,# of Brokers in Rating,Current Avg Broker Rec,P/E (F1),% Change F1 Est. (4 weeks),Div. Yield %,Price as a % of 52 Wk H-L Range,Relative Price Change (YTD),% Change Q0 Est. (4 weeks),% Change Q1 Est. (4 weeks),% Change Q2 Est. (4 weeks),% Change LT Growth Est. (4 weeks),% Change F2 Est. (4 weeks),Q0 Consensus Est. (last completed fiscal Qtr),# of Analysts in Q0 Consensus,Q1 Consensus Est.,# of Analysts in Q1 Consensus,Q2 Consensus Est. (next fiscal Qtr),St. Dev. Q1 / Q1 Consensus,# of Analysts in Q2 Consensus,F0 Consensus Est.,St. Dev. Q2 / Q2 Consensus,# of Analysts in F0 Consensus,# of Analysts in F1 Consensus,St. Dev. F1 / F1 Consensus,# of Analysts in F2 Consensus,5 Yr. Hist. EPS Growth,Long-Term Growth Consensus Est.,% Change EPS (F(-1)/F(-2)),Last Yr`s Growth F(0)/F(-1),This Yr`s Est.d Growth (F(1)/F(0)),% Ratio of Q1/Q0,% Ratio of Q1/prior Yr Q1 Actual Q(-3),Sales Growth F(0)/F(-1),5 Yr Historical Sales Growth,F(1) Consensus Sales Est. ($mil),Q(1) Consensus Sales Est. ($mil),P/E (Trailing 12 Months),P/E (F2),PEG Ratio,Price/Cash Flow,Price/Book,Price/Sales,Current ROE (TTM),Current ROI (TTM),ROI (5 Yr Avg),Current ROA (TTM),ROA (5 Yr Avg),Market Value/# Analysts,Annual Sales ($mil),Cost of Goods Sold ($mil),EBITDA ($mil),EBIT ($mil),Pretax Income ($mil),Net Income  ($mil),Cash Flow ($mil),Net Income Growth F(0)/F(-1),12 Mo. Net Income Current/Last %,12 Mo. Net Income Current-1Q/Last-1Q %,5 Yr Div. Yield %,5 Yr Hist. Div. Growth %,Dividend ,Net Margin %,Operating Margin 12 Mo %,Turnover,Inventory Turnover,Asset Utilization
Arcadis,ARCAY,4890.2,OTC,12,Construction,Engineering - R and D Services,NO,90.44,54.07,3.25,202412,3.81,4.39,0.9,2075.46801,1629.64294,0,1548.48498,1697.81494,835.38098,0,1330.98303,14.72,38.561,0.62764,1.22,1.22,0.31038,NO,35,74.18,49.6,0,5.61,-11.69,-8.28,,,20250213,,,,,,,,0,0,0,0,0,0,5,40,0,0,0,0,100,3,3,1,14.19,3.25,1.44,18.19,-5.24,,,,,1.62,,,,,,,,3.1,,1,1,,1,,,,19.49,17.23,,,3.21,,5281,,,12.32,,11.02,3.67,,,,,,,4890.19921,4198.98,1206.54199,596.23699,444.74301,366.832,262.95001,443.691,51.86343,,,1.29,10.90699,0.78,,,,,
Ares Capital,ARCC,15133.81,NSDQ,12,Finance,Financial - SBIC & Commercial Industry,YES,684.48,22.11,2.33,202412,2.18,2.16,1,1376,0,0,516,1140,13759,0,13355,19.89,50.74499,1.03025,1.21,1.21,0.75438,NO,4956344,23.81,19.8,1.75,-4.37,-0.45,1.01,2.33,0.55,20250205,20250507,202412,0.55,-0.42,-1.69,-5.17,23.46,0,0,15.38,0,0,0,2,233,6.99,0,0,2,84.62,11,13,1.46,10.13,-0.11,8.68,57.61,5.53,0.39,-0.1,0,,-0.45,0.58,9,0.54,8,0.55,0.02,7,2.36,0.02,7,8,0.01955,8,8.58,,0,-1.69,-6.33,98.86,92.16,14.38,18.15,3162.75488,771.09002,9.49,10.24,,10.03,1.11,5.06,11.54,5.68,5.30609,5.5,5.14249,1891.72619,2990,0,2218,2191,1476,1522,1479.92004,0,0,22.99298,9.41,5.4456,1.92,50.9,48.6,7.0644,,0.11315
Alexandria Real Estate Equities,ARE,16547.59,NYSE,12,Finance,REIT and Equity Trust - Other,YES,173.09,95.6,9.47,202412,9.31,9.56,1.17,566.25598,0,0,6.40899,2654.35107,12244.37011,0,22378.49023,129.29,35.402,0.54714,0.21,0.21,0.21091,YES,1173563,129.6,94.47,-1.42,-5.29,-1.95,-2,9.47,2.39,20250127,20250428,202412,2.39,0.54,-0.42,0,116.54,0,0,69.23,0,0,0.05,56,195,0,0,0,9,30.77,4,13,2.38,10.27,-0.15,5.52,3.22,1.36,0.02,0.48,0.54,0,-0.6,2.39,5,2.29,5,2.32,0.02,4,9.47,0.01,5,5,0.0028,5,6.82,2.61,211.61,5.57,-1.73,95.65,97.28,7.99,15.36,3051.29003,758.46502,10.1,10,3.94,11.35,0.74,5.31,1.43,0.92,1.9677,0.85,1.817,3309.51879,3116.39,909.26501,1702.39904,567.25897,381.42098,322.949,1458.08898,211.60952,211.61,20.4467,3.29,5.2293,5.28,10.36,10.36,450.346,,0.08224
Ares Management,ARES,45702.91,NYSE,12,Finance,Financial - Investment Management,YES,315.41,144.9,3.97,202412,5.28,6.65,1.23,16181.90039,2138.46411,0,1056.60803,14010.13964,2833.91406,1458.77099,5365.41894,17.13,33.30699,0.52818,1.15,1.16,1.07959,NO,2099272,198.22,129.3,-1.66,-13.3,-18.97,-18.15,3.97,1.23,20250205,20250501,202412,1.23,-4.14,1.06,-4.65,191.53,0,0,41.18,0,0,0,19,217,0,0,0,7,58.82,10,17,1.94,27.47,0,2.57,22.63,-13.4,1.1,0,0,0,0,1.29,7,0.99,7,1.25,0.04,4,4.04,0.09,7,7,0.04589,7,21.3,25.68,-7.03,8.77,32.89,80.28,123.43,6.96,19.48,4995.48681,932.43798,36.5,21.79,1.07,46.22,8.46,11.76,16.34,9.36,9.5537,3.39,2.7871,6528.98681,3884.78,0,2412.23095,2253.65307,1275.35205,463.742,981.78399,-2.23138,-7.03,10.17209,3.15,23.357,3.72,11.35,23.29,4.35379,,0.15853
Argenx,ARGX,35797.34,NSDQ,12,Medical,Medical - Biomedical and Genetics,YES,60.76,589.15,2.57,202412,12.51,20.3,0.59,4883.10302,181.445,407.233,909.096,669.91601,0,0,5498.2832,90.49,0,0,7.29,6.68,5.32421,NO,324589,671.74,356.01,-3.9,-5.69,-5,-4.2,2.38,1.58,20250227,20250508,202412,1.58,345.11,1290,-13.66,738.73,0,0,11.11,0,0,-0.01,269,21,6.54,0,0,3,88.89,24,27,1.22,47.1,15.28,0,73.84,-0.31,14.19,8.42,3.95,,1.81,1.83,12,2.2,11,2.73,0.2,10,3.13,0.29,7,12,0.27518,12,,32.53,382.34,149.81,386.69,139.53,-211.97,77.52,100.36,3624.29003,790.35797,247.54,29.02,1.45,198.33,6.51,15.9,5.01,5.01,-30.76301,4.44,-26.771,2983.11206,2252.04,227.289,105.17099,87.64399,85.18,833.03997,180.49,382.33569,382.34,82.81704,0,,0,36.99,7.24,4.31799,0.92935,0.61423
Arkema,ARKAY,5941.89,OTC,12,Basic Materials,Chemical - Diversified ,NO,76.06,78.12,8.91,202412,8.58,9.71,1.3,5405.08886,5890.95214,1458.67102,1746.50903,2690.10107,3982.12792,0,8398.17773,110.41,32.165,0.47416,2.01,1.47,0.81777,NO,6670,110.04,72.06,-6.11,-5.88,6.14,3.03,8.78,1.35,20250227,20250506,202412,1.35,,7.98,7.69,109,0,0,20,0,0,0,7,119,3.07,0,0,2,80,8,10,1.4,9.11,-2.32,3.61,15.96,8.06,,0,0,56.97,-2.02,1.43,1,1.57,1,2.53,,1,8.36,,3,3,0.10337,3,6.28,28.13,-15.1,-5.91,-3.74,116.3,78.5,0.32,2.65,10590.32519,2556.46997,8.9,8.05,0.32,3.87,0.71,0.58,7.81,5.47,7.9618,4.04,5.8041,1980.62841,10328.62,8229.37011,1416.46899,548.625,548.625,383.06298,1534.48596,-15.32668,-15.1,-11.1466,2.58,8.71809,2.82,3.72,6.39,5.4562,5.5843,0.63322
Alliance Resource Partners,ARLP,3423.89,NSDQ,12,Oils-Energy,Coal,YES,128.43,26.66,2.96,202412,2.56,3.46,1.09,513.22998,0,120.661,176.98699,233.14199,450.885,0,1853.53295,14.47,19.56599,0.24325,2.2,1.68,0.92468,NO,300482,29.24,19.82,-0.07,-0.6,0.19,1.41,2.81,0.22,20250203,20250505,202412,0.21999,-20.3,-19.51,-63.33,29.5,0,0,0,0,0,0,4,68,0,0,0,0,100,3,3,1.17,10.41,0,10.5,72.61,4.55,-1.67,0,0,,0,0.6,2,0.63,3,0.55,0.25,3,3.24,0.28,2,3,0.18533,2,90.9,,-42.61,-38.46,-13.51,286.36,55.26,-4.6,17.06,2344.67993,583.083,9.49,7.69,,5.23,1.84,1.4,19.27,15.72,17.537,12.29,13.397,1141.29675,2448.71,1655.77905,702.169,416.72299,381.49398,360.85501,670.893,-42.73216,-42.61,-36.79514,7.97,75.10299,2.8,14.74,15.02,10.845,10.08699,0.8185
ARM Holdings PLC Sponsored ADR,ARM,112956.61,NSDQ,3,Computer and Technology,Electronics - Semiconductors,YES,1047.83,107.8,1.27,202403,1.62,2,4.77,4197,1777,0,781,1505,0,0,5295,6.13,0,0,4.96,2.79,2.26976,NO,4801335,186.46,87.19,-9.47,-17.29,-15.91,-12.61,1.46,0.4,20250205,20250514,202412,0.23999,17.99,20,17.65,164.04,0,0,30,0,0,0.04,30,22,-2.14,6.67,2,9,63.33,19,30,1.87,66.7,0,0,20.76,-5.81,2.22,0,0,0,0,0.34,8,0.53,8,0.4,0.01,6,1.21,0.16,5,8,0.01439,8,,25.35,848.24,,27.27,131.56,146.18,20.68,,3998.52587,1235.19396,73.84,53.97,2.63,205.87,17.6,30.58,11.94,11.94,,8.62,,14119.57617,3233,154,374,212,212,306,1486,-41.60306,848.24,256.11111,,,0,21.82,41.34,4.1847,,0.4562
Aramark,ARMK,9066.59,NYSE,9,Business Services,Business - Services,YES,265.11,34.2,1.55,202409,1.92,2.23,1.6,3406.56201,6481.80322,387.60101,2096.92797,4214.20996,4307.17089,0,3038.97412,11.63,61.804,1.6149,0.94,0.72,0.21879,NO,2096599,42.22,30.75,0.21,-6.2,-7.52,-8.34,1.65,0.51,20250204,20250506,202412,0.50999,5.28,0,6.25,45.42,0,0,16.67,0,0,0,13,84,0,0,0,2,83.33,10,12,1.42,17.84,-0.07,1.23,30.08,-4.86,1.92,-2.92,0.95,,-0.07,0.48,7,0.33,7,0.4,0.08,7,1.55,0.03,7,7,0.01383,6,16.67,,-45.97,-8.82,23.7,65.25,114.74,-7.71,10.3,18640.76367,4347.98486,20.73,15.3,,10.65,2.94,0.52,14.72,5.47,2.2279,3.49,1.4987,1295.22741,17400.7,15975.01953,1167.12805,731.58099,364.86499,262.522,847.38397,-61.05639,-45.97,-61.05639,1.28,-2.69791,0.42,1.94,2.51,8.0495,42.51499,1.38999
Archrock,AROC,4634.11,NYSE,12,Oils-Energy,Oil and Gas - Field Services,YES,175.27,26.44,1.05,202412,1.64,1.9,1.56,233.12199,150.42599,89.68599,132.47799,188.604,2198.37597,0,1323.531,7.56,62.41999,1.66099,1.24,0.76,0.0581,NO,1620092,30.34,17.83,-0.94,-0.68,4.46,6.23,1.14,0.35,20250224,20250429,202412,0.34999,8.81,0,12.9,31.75,0,0,0,0,0,0,5,124,0,0,0,0,100,7,7,1.29,16.12,6.72,2.87,68.82,10.28,0,5.41,4,0,8.99,0.31,3,0.39,3,0.39,0.09,3,1,0.09,2,3,0.07392,3,14.29,12,64.03,52.17,56.19,111.43,150,16.89,4.6,1441.69494,341.88,23.19,13.92,1.34,11.23,3.5,4,17.17,6.28,3.26209,5.79,3.02519,1544.7041,1157.59,458.501,582.98797,355.98999,232.38,172.231,399.229,64.03264,64.03,76.4317,6.36,3.40339,0.76,14.88,16.28,9.22119,5.4969,0.3558
