Company Name,Ticker,Market Cap (mil),Exchange,Month of Fiscal Yr End,Sector,Industry,Optionable,Shares Outstanding (mil),Last Close,Last Yr`s EPS (F0) Before NRI,Last Reported Fiscal Yr  (yyyymm),F1 Consensus Est.,F2 Consensus Est.,Beta,Current Assets  ($mil),Intangibles ($mil),Inventory ($mil),Receivables ($mil),Current Liabilities ($mil),Long Term Debt ($mil),Preferred Equity ($mil),Common Equity ($mil),Book Value,Debt/Total Capital,Debt/Equity Ratio,Current Ratio,Quick Ratio,Cash Ratio,S&P 500 - ETF,Avg Volume,52 Week High,52 Week Low,% Price Change (1 Week),% Price Change (4 Weeks),% Price Change (12 Weeks),% Price Change (YTD),12 Mo Trailing EPS,Last Qtr EPS,Last EPS Report Date (yyyymmdd),Next EPS Report Date  (yyyymmdd),Last Reported Qtr (yyyymm),Actual EPS used in Surprise ($/sh),Avg EPS Surprise (Last 4 Qtrs),Previous EPS Surprise (%),Last EPS Surprise (%),Average Target Price,% Rating Downgrades ,% Rating Upgrades ,% Rating Hold,# Rating Downgrades ,# Rating Upgrades,Change in Avg Rec ,Rank in Industry (of ABR),Industry Rank (of ABR),% Rating Change - 4 Weeks,% Rating Strong Sell or Sell,# Rating Strong Sell or Sell,# Rating Hold,% Rating Strong Buy or Buy,# Rating Strong Buy or Buy,# of Brokers in Rating,Current Avg Broker Rec,P/E (F1),% Change F1 Est. (4 weeks),Div. Yield %,Price as a % of 52 Wk H-L Range,Relative Price Change (YTD),% Change Q0 Est. (4 weeks),% Change Q1 Est. (4 weeks),% Change Q2 Est. (4 weeks),% Change LT Growth Est. (4 weeks),% Change F2 Est. (4 weeks),Q0 Consensus Est. (last completed fiscal Qtr),# of Analysts in Q0 Consensus,Q1 Consensus Est.,# of Analysts in Q1 Consensus,Q2 Consensus Est. (next fiscal Qtr),St. Dev. Q1 / Q1 Consensus,# of Analysts in Q2 Consensus,F0 Consensus Est.,St. Dev. Q2 / Q2 Consensus,# of Analysts in F0 Consensus,# of Analysts in F1 Consensus,St. Dev. F1 / F1 Consensus,# of Analysts in F2 Consensus,5 Yr. Hist. EPS Growth,Long-Term Growth Consensus Est.,% Change EPS (F(-1)/F(-2)),Last Yr`s Growth F(0)/F(-1),This Yr`s Est.d Growth (F(1)/F(0)),% Ratio of Q1/Q0,% Ratio of Q1/prior Yr Q1 Actual Q(-3),Sales Growth F(0)/F(-1),5 Yr Historical Sales Growth,F(1) Consensus Sales Est. ($mil),Q(1) Consensus Sales Est. ($mil),P/E (Trailing 12 Months),P/E (F2),PEG Ratio,Price/Cash Flow,Price/Book,Price/Sales,Current ROE (TTM),Current ROI (TTM),ROI (5 Yr Avg),Current ROA (TTM),ROA (5 Yr Avg),Market Value/# Analysts,Annual Sales ($mil),Cost of Goods Sold ($mil),EBITDA ($mil),EBIT ($mil),Pretax Income ($mil),Net Income  ($mil),Cash Flow ($mil),Net Income Growth F(0)/F(-1),12 Mo. Net Income Current/Last %,12 Mo. Net Income Current-1Q/Last-1Q %,5 Yr Div. Yield %,5 Yr Hist. Div. Growth %,Dividend ,Net Margin %,Operating Margin 12 Mo %,Turnover,Inventory Turnover,Asset Utilization
Agilent Technologies,A,33268.67,NYSE,10,Medical,Medical - Products,YES,285.1,116.69,5.29,202410,5.57,6.08,1.11,3959,5024,972,1324,1895,3345,0,5898,21.14,35.705,0.55533,2.2,1.58,0.87757,YES,2197268,154.64,116.69,-2.98,-8.18,-12.55,-13.14,5.31,1.31,20250226,20250604,202501,1.30999,3.7,3.55,3.15,151.71,0,0,50,0,0,0,57,61,0,0,0,8,50,8,16,2,20.96,0.1,0.85,0,-8.51,0.13,-2.83,0.89,-3.61,-0.56,1.27,6,1.27,7,1.41,0.01,5,5.24,0.03,7,7,0.00306,7,12.9,6.4,1.86,-2.76,5.24,96.73,103.86,-4.73,5.28,6740.54394,1627.99401,21.98,19.21,3.27,18.67,5.52,5.09,25.56,17.55,17.77099,13.47,13.38899,4752.66699,6510,2975,1874,1617,1521,1289,1796,3.95161,1.86,3.95161,0.68,6.866,0.99,19.27,23.51,5.0959,3.04739,0.57292
Alcoa,AA,7937.41,NYSE,12,Industrial Products,Metal Products - Distribution,YES,258.89,30.66,1.35,202412,4.11,3.33,2.55,4914,0,1998,1239,3395,2470,0,5157,19.96,32.38499,0.47896,1.45,0.86,0.49396,NO,4890921,47.42,28.17,-12,-8.29,-19.29,-18.85,0.96,1.04,20250122,20250416,202412,1.03999,43.62,147.83,11.83,49.2,0,0,20,0,0,0,2,171,0,0,0,2,80,8,10,1.45,7.46,-2.1,1.3,12.94,-12.55,0,3.37,-9.06,0,5.59,0.93,4,1.68,4,0.84,0.23,3,0.95,0.36,4,5,0.18136,5,,40.8,109.22,159.47,204.3,162.02,-208.02,12.74,2.98,13450.01269,3569.62011,31.94,9.22,0.18,8.44,1.54,0.67,5.54,3.79,3.78229,2.07,1.9383,1587.48291,11895,10044,1087,445,289,60,938,109.21659,109.22,66.62857,0.65,0,0.4,0.5,2.49,11.01099,4.9496,0.83121
AAC Technologies,AACAY,7085.83,OTC,12,Computer and Technology,Electronics - Miscellaneous Components,NO,1188.9,5.96,0.21,202412,0.28,0.33,1.18,2543.4519,124.72299,654.05102,826.14001,1345.51403,1161.31604,0,3298.26806,2.61,23.367,0.30492,1.59,,,NO,12761,6.89,2.94,-13.47,-1.73,29.88,25.47,,,20250320,,,,,,,,0,0,0,0,0,-1,18,77,0,0,0,0,100,2,2,1,21.67,10,0.18,76.5,35.06,,,,,10,,,,,,,,0.19,,2,2,0.07713,2,,,,162.5,30.95,,,34.15,,4196.09521,,,18.06,,13.45,2.28,,,,8,,5.8041,3542.91308,3801.61,2503.91894,596.65997,187.79499,127.897,250.011,250.011,143.32208,,,0.66,-28.39901,0.01,,,,,
AIA,AAGIY,81952.96,OTC,12,Finance,Insurance - Life Insurance,NO,2683.46,30.54,2.48,202412,2.6,2.8,0.35,13827,3277,0,5239,220034,11206,0,38550,14.24,23.111,0.30056,0.08,,,NO,528633,38.42,23.33,-3.89,-1.71,7.76,5.97,,,20250314,,,,,,,,0,0,0,0,0,0,1,130,0,0,0,0,100,4,4,1,11.75,0,1.32,47.78,11.48,,,,,0,,,,,,,,2.39,,1,1,,1,,,,89.31,4.84,,,10.28,,,,,10.91,,317.69,2.14,,,,,,,81952.96093,19314,9964,885,885,491,6836,6836,81.6153,,,1.51,4.45569,0.4,,,,,
American Airlines,AAL,7036.06,NSDQ,12,Transportation,Transportation - Airline,YES,657.58,10.7,1.96,202412,2.15,2.96,1.27,13154,6135,2638,2006,24295,25154,0,-3977,-6.05,,-6.32487,0.54,0.43,0.35027,NO,64628160,18.66,9.26,-4.97,-26.36,-37.06,-38.61,1.91,0.86,20250123,20250424,202412,0.86,37.13,130.77,34.38,18.88,0,0,38.1,0,0,0,18,176,0,0,0,8,61.9,13,21,1.81,4.99,-11.19,0,15.32,-33.97,0,-124.88,-1.42,-7.6,-6.28,0.64,9,-0.52,9,1.33,-0.38,7,1.73,0.06,9,9,0.13166,9,,20.92,2.92,-26.04,9.51,-60.99,154.28,2.7,24.4,56975.26171,12801.42187,5.6,3.62,0.24,1.95,,0.13,-28.56,6.18,-8.754,2.15,-3.4545,781.78479,54211,40820,5333,3088,1154,846,3607,2.9197,2.92,-82.87671,0.11,,0,1.56,2.51,27.231,15.85999,0.85431
AAON,AAON,6371.09,NSDQ,12,Construction,Building Products - Air Conditioner and Heating,YES,81.6,78.08,2.02,202412,2.15,2.93,1,488.212,160.15199,187.41999,151.54899,174.90499,138.891,0,824.58197,10.15,14.416,0.16843,2.79,1.72,0.85328,NO,1262332,140.75,71.99,-1.69,-0.71,-33.8,-33.65,2.01,0.3,20250227,20250501,202412,0.3,-8.56,8.62,-44.44,115.5,0,0,33.33,0,0,0,1,157,7.41,0,0,2,66.67,4,6,1.67,36.26,-26.59,0.51,8.86,-29.56,3.7,-53.85,-27.16,,-26.28,0.54,3,0.24,3,0.59,0.04,2,2.26,0,3,3,0.05898,3,28.16,,-5.1,-8.18,6.6,80,52.17,2.75,27.52,1388.5,288,38.85,26.68,,27.4,7.7,5.31,21.43,19.67,20.427,16.17,16.072,2123.69799,1200.64,803.526,272.574,209.496,206.591,168.559,231.63699,-5.10295,-5.1,12.65459,0.54,8.2615,0.4,14.04,14.04,8.57199,4.3178,1.1518
Apple,AAPL,3273309.75,NSDQ,9,Computer and Technology,Computer - Micro Computers,YES,15022.07,217.9,6.75,202409,7.26,8.16,1.18,152987,0,7286,66243,176392,85750,0,56950,4.44,55.706,1.25761,0.92,0.83,0.45046,YES,53351080,259.02,165,1.77,-8.18,-10.64,-12.99,6.97,2.4,20250130,20250501,202412,2.4,4.39,10.07,1.69,251.72,0,0,27.78,0,0,0,3,137,1.15,11.11,4,10,61.11,22,36,2.1,30,-0.17,0.46,56.26,-7.65,-0.04,-0.08,-0.58,0,-0.58,2.36,11,1.61,11,1.48,0.02,7,6.6,0.03,13,12,0.01625,11,16.44,13.82,-4.72,10.11,7.6,66.9,104.93,2.02,7.86,406426.7188,93674.90625,31.26,26.72,2.17,28.54,49.03,8.27,160.83,69.5,54.66199,30.88,26.12199,272775.8125,391035,210352,134930,123485,123485,93736,115427,-3.35997,-4.72,-3.35997,0.61,4.8923,1,24.3,26.88,7.5429,31.83499,1.14869
AllianceBernstein,AB,4241.04,NYSE,12,Finance,Financial - Investment Management,YES,110.53,38.37,3.25,202412,3.59,4.01,1.25,0,0,0,0,0,0,0,2031.86206,18.38,0,0,,,,NO,979430,40.73,31.87,0.66,2.57,3.53,3.45,3.26,1.05,20250206,20250424,202412,1.04999,9.85,5.48,23.53,40.08,0,0,50,0,0,0,16,217,-20,0,0,3,50,3,6,2,10.7,0.28,10.95,73.36,6.87,0,0,0,0,0.17,0.85,2,0.77,3,0.85,0.05,1,3.06,,3,3,0.03638,3,-1.16,12.76,60.26,20.82,10.36,73.33,105.48,7.7,3.31,3600.30004,856.5,11.77,9.56,0.84,11.44,2.09,0.95,17.88,17.88,18.60799,17.87,18.38699,1413.67871,4475.14,0,461.949,461.949,461.949,423.37399,370.84298,60.25724,60.26,59.64319,8.64,-2.5939,4.2,9.46,10.49,,,2.15989
ABB,ABBNY,98445.14,OTC,12,Industrial Products,Manufacturing - Electronics,NO,1860.61,52.91,2.13,202412,2.36,2.62,1.16,20850,11603,5859,7388,15216,6652,0,15060,8.09,30.63699,0.44169,1.37,0.99,0.49967,NO,291245,59.45,45.47,-8.14,-1.84,-1.14,-1.49,2.13,0.54,20250130,20250417,202412,0.54,-9.71,-8.93,0,54.03,0,0,75,0,0,0,15,94,0,8.33,1,9,16.67,2,12,2.83,22.44,-0.25,1.1,53.22,4.85,0,0,,0,-0.19,0.54,2,0.54,1,,,,2.15,,4,5,0.01511,4,18.56,9.87,5.07,5.45,10.7,100,110.2,1.91,5.28,34282.84375,,24.84,20.17,2.27,20.77,6.54,3,27.54,18.93,15.177,9.76,7.12909,19689.02734,32850,20576,6134,5332,5233,3935,4739,5.07343,5.07,-2.1992,1.64,3.16849,0.58,11.98,11.98,4.42229,3.3131,0.81395
AbbVie,ABBV,363153.5,NYSE,12,Medical,Large Cap Pharmaceuticals,YES,1768.98,205.29,10.12,202412,12.3,13.97,0.61,25582,95024,4181,10919,38749,60340,0,3364,1.9,94.719,17.93697,0.66,0.55,0.27051,YES,7193216,216.66,154.79,-3.15,0.13,14.41,15.53,10.12,2.16,20250131,20250425,202412,2.16,2.37,2.74,1.41,211.29,0,0,30.77,0,0,-0.03,5,193,-1.52,0,0,8,69.23,18,26,1.67,16.69,0.14,3.2,81.62,17.85,-0.51,-0.96,0.43,17.52,0.29,2.13,9,2.51,9,3.12,0.02,7,10.08,0.04,9,10,0.01176,9,2.09,11.94,-12.03,-8.91,21.57,116.32,108.77,3.71,7.79,59524.6289,12917.61132,20.29,14.69,1.4,13.75,107.84,6.45,296.28,27.17,27.56399,12.65,15.01799,36315.35156,56334,16904,14262,5876,3716,4278,26387,-12.02962,-12.03,-21.36936,4.23,6.7135,6.56,7.59,31.95,4.89179,3.95549,0.39574
Ameris Bancorp,ABCB,3943.15,NYSE,12,Finance,Banks - Southeast,YES,69.07,57.09,5.02,202412,5.06,5.72,1.02,22150.80078,1086.40698,528.59899,20401.82031,21722.44921,424.09698,0,3751.52197,54.32,10.15699,0.11304,1.02,1,0.05618,NO,528170,72.37,44.44,-0.59,-9.8,-6.39,-8.76,5.03,1.38,20250130,20250424,202412,1.37999,7.51,9.52,15,76,0,0,20,0,0,0,11,169,0,0,0,1,80,4,5,1.8,11.28,1.4,1.4,45.29,-3.66,-2.09,0,0,,-0.72,1.2,3,1.12,3,1.26,0.05,2,4.84,0.07,4,4,0.01481,4,2.1,,33.29,25.5,0.85,81.16,101.82,9.73,11.08,1170.30004,276.5,11.35,9.97,,10.02,1.05,2.36,9.57,8.05,7.999,1.32,1.3926,985.78729,1671.54,484.673,567.00897,520.281,475.85998,358.68499,393.36801,33.28811,33.29,15.71558,1.46,1.6575,0.8,21.46,30.27,0.08156,0.96141,0.06377
Ambev,ABEV,35918.74,NYSE,12,Consumer Staples,Beverages - Alcohol,YES,15753.83,2.28,0.18,202412,0.17,0.18,0.94,10040.51953,10544.33007,2167.28906,1826.59802,9156.75781,403.48599,0,18462.2207,1.17,2.1387,0.02185,1.1,0.86,0.66034,NO,27920980,2.56,1.77,-2.98,8.06,24.59,23.24,0.17,0.05,20250226,20250514,202412,0.05,-4.17,0,-16.67,2.87,0,0,55.56,0,0,0,7,196,0,0,0,5,44.44,4,9,2.11,13.03,0,3.98,64.56,29,,,,149.74,-10,0.06,1,0.04,1,0.04,,1,0.18,,2,2,0.0404,2,5.52,4.72,-8.24,-5.26,-2.78,80,80,3.86,8.72,16428.60937,3752.53002,13.41,12.67,2.76,8.8,1.95,2.17,15.12,14.78,16.19599,9.84,10.564,17959.36914,16588.85,8086.24023,5770.48193,4449.24707,3612.94506,2676.65698,4079.68603,-7.85178,-8.24,-8.32312,3.84,36.34999,0.09,16.11,16.52,9.72669,3.79789,0.59543
Asbury Automotive Group,ABG,4285.95,NYSE,12,Retail-Wholesale,Automotive - Retail and Whole Sales,YES,19.65,218.17,27.24,202412,26.21,26.39,1.22,3137.8999,2044.69995,1978.80004,549.29998,2836.30004,3023.8999,0,3502.10009,178.79,46.33599,0.86345,1.11,0.41,0.21499,NO,206718,305.86,208.45,-5.99,-18.27,-7.72,-10.23,27.22,7.26,20250130,20250424,202412,7.26,-1.17,-4.51,19.6,278.33,0,0,100,0,0,0,10,140,0,0,0,7,0,0,7,3,8.32,1.46,0,9.98,-3.86,0.7,-2.68,-2.51,,-7.53,6.07,5,6.67,3,6.59,0.05,3,26.07,0.05,5,3,0.0334,3,28.26,,-28.58,-16.44,-3.77,91.83,92.46,16.12,24.41,18898.93554,4319.02294,8.02,8.27,,6.4,1.22,0.25,16.1,8.24,13.11299,5.32,8.79409,1428.6499,17188.6,14239.90039,966.5,844.29998,575.29998,430.29998,667.29998,-28.58092,-28.58,-60.34215,0,,0,2.5,3.17,36.109,7.17509,1.6791
Airbnb,ABNB,76099.88,NSDQ,12,Consumer Discretionary,Leisure and Recreation Services,YES,630.54,120.69,4.11,202412,4.3,4.97,1.1,17180,777,0,5931,10161,1995,0,8412,13.19,19.17,0.23716,1.69,1.69,1.10707,YES,5443940,167.99,113.01,-4.33,-13.45,-8.21,-8.16,4.13,0.73,20250213,20250514,202412,0.73,23.94,-1.84,25.86,159.39,0,0,53.66,0,0,0,27,88,1.87,12.2,5,22,34.15,14,41,2.55,28.05,-0.18,0,13.97,-1.22,1.2,-4.5,-1.28,18.69,-0.07,0.58,12,0.25,12,0.9,0.23,12,3.97,0.05,13,13,0.03611,12,50.63,11.43,-44.74,-43.23,4.68,33.9,60.37,11.95,33.78,12203.91992,2261.13989,29.22,24.26,2.45,28.38,9.15,6.85,32.29,25.98,-27.932,11.27,-12.25801,5853.83642,11102,1878,3396,3331,3331,2648,2713,-44.74124,-44.74,-66.337,0,,0,23.85,23.85,1.4061,,0.47249
Abbott Laboratories,ABT,226884.14,NYSE,12,Medical,Medical - Products,YES,1734.32,130.82,4.67,202412,5.14,5.73,0.7,23656,29755,6194,6925,14157,12625,0,47901,27.62,20.85899,0.26356,1.67,1.23,0.74429,YES,7610189,140.22,100.07,3.19,-3.72,15.32,15.66,4.67,1.34,20250122,20250416,202412,1.34,1.64,0.83,0,138.91,0,0,24,0,0,0,49,61,0,0,0,6,76,19,25,1.56,25.43,0,1.8,76.59,19.97,0,0,0,0,0,1.34,9,1.07,8,1.24,0.01,7,4.67,0.01,10,10,0.00717,9,5.58,10.42,134.18,5.18,10.17,79.66,108.93,4.59,4.71,44352.92578,10390.02148,28.01,22.83,2.44,19.87,4.74,5.41,19.7,15.07,15.67399,10.89,11.145,22688.41406,41950,18706,10790,7572,7013,13402,11418,134.17787,134.18,11.72026,1.72,9.81439,2.36,31.95,19.55,6.1163,2.80789,0.557
Arcosa,ACA,3900.62,NYSE,12,Construction,Building Products - Miscellaneous,YES,48.78,79.97,3.02,202412,4.26,4.67,0.81,954,1699.5,359.89999,350.20001,516,1676.80004,0,2428.19995,49.78,40.84799,0.69055,1.85,1.15,0.47267,NO,413846,111.57,75.78,-0.53,-12.68,-17.27,-17.34,3.01,0.46,20250227,20250501,202412,0.46,2.82,16.67,-41.77,107.2,0,0,0,0,0,0,4,82,0,0,0,0,100,5,5,1,18.77,-6.48,0.25,11.71,-12.56,0,-49.12,-20.9,,-11.39,0.79,1,0.29,1,1.06,,1,3.23,,2,2,0.1527,1,7.97,,-41.14,-6.5,41.06,63.04,39.73,11.35,7.06,2933.30004,624.20001,26.57,17.12,,11.38,1.61,1.52,6.13,4.27,4.8178,3.53,3.93339,1950.30847,2569.9,2054.69995,395.89999,200.89999,130,93.69999,342.89999,-41.14322,-41.14,-55.17964,0.34,0,0.2,3.65,5.76,6.60809,5.37109,0.61377
Air Canada,ACDVF,3185.32,OTC,12,Transportation,Transportation - Airline,NO,322.73,9.87,2.59,202412,1.57,1.86,2.09,6613.44824,3242.50097,285.35198,794.75201,8354.75,7965.76708,0,1742.76196,5.13,82.049,4.57077,0.79,0.76,0.66229,NO,277592,18.31,9.87,-6.24,-15.13,-36.22,-36.08,2.58,0.18,20250213,20250501,202412,0.18,-255.45,62.07,0,17.92,0,0,20,0,0,0,9,176,-9.52,0,0,3,80,12,15,1.53,6.29,-4.45,0,0,-31.75,-0.61,-3.96,-3.42,,-1.79,0.18,9,-0.3,8,0.47,-0.25,5,2.5,0.18,10,10,0.15173,10,,,-24.96,-23.37,-39.42,-166.67,150,0.44,33.6,16269.06738,3721.89599,3.83,5.3,,1.47,1.92,0.2,72.47,10.41,-8.87151,4.33,-4.2021,318.53155,16243.35,4637.8789,2245.59399,932.68402,375.84698,1255.25598,2287.29101,-25.55098,-24.96,10.94038,0,,0,7.82,6,18.791,17.25699,0.72166
Agri Bank China,ACGBY,207749.94,OTC,12,Finance,Banks - Foreign,NO,13999.32,14.84,2.6,202412,,,0.05,3726294,205.21699,0,3073790,3873686,277792.5,0,397423.4063,30.15,45.77399,0.84412,1.2,,,NO,30038,16.32,10.07,-6.61,-2.94,7.73,6.65,2.6,0.66,20250328,20250327,202412,0.66,,,,,0,0,0,0,0,0,,,0,0,0,0,100,1,1,1,,,4.22,76.32,14.04,,,,,,,,,,,,,,,,,,,5.41,,3.02,1.96,,,,6.54,7.89,,,5.71,,,4.98,0.49,1.06,9.11,4.94,6.0275,0.66,0.77367,,190647.2,66558.53125,59191.6914,56006.30078,45503.69921,38111.44921,39240.28906,-1.03031,3.02,0.72326,6.47,6.17159,0.63,19.68,39.54,0.04354,,0.03368
Arch Capital Group,ACGL,35715.56,NSDQ,12,Finance,Insurance - Property and Casualty,YES,375.72,95.06,9.28,202412,8.16,9.71,0.62,23834,1351,0,20071,43889,2909,830,19990,53.13,12.25899,0.14552,0.54,0.54,0.08573,YES,1785713,114.86,88.13,2.82,3.21,4.03,2.93,9.27,2.26,20250210,20250429,202412,2.25999,15.52,2.58,22.16,113.38,0,0,23.53,0,0,0,5,179,0,5.88,1,4,70.59,12,17,1.82,11.65,-0.7,0,25.93,8.44,-1.56,-5.78,0.36,-36.87,-0.73,1.85,7,1.59,7,2.4,0.25,5,8.86,0.06,8,7,0.06453,7,53.39,2.86,-2.95,9.82,-12.05,70.35,64.9,27.92,19.29,18940.52148,4555.16308,10.26,9.79,4.07,9.37,1.79,2.05,17.96,14.92,10.84099,5.25,3.85279,5102.22314,17440,10993,4850,4615,4474,4312,3817,-2.94846,-2.95,93.03675,0,,0,24.73,21.55,0.85624,,0.25571
Archer Aviation,ACHR,3938.33,NYSE,12,Aerospace,Aerospace - Defense,YES,542.47,7.26,-1.13,202412,-0.86,-0.75,3.14,858.40002,0.3,0,0,71.09999,75.3,0,752.59997,1.49,9.09529,0.10005,12.07,12.07,12.07313,NO,26293086,11.51,2.91,-12.32,-8.33,-24.14,-25.54,-1.18,-0.47,20250227,20250508,202412,-0.53,-15.21,0,-95.83,11.39,0,0,22.22,0,0,0,5,104,0,0,0,2,77.78,7,9,1.67,,-5.23,0,50.58,-16.72,7.53,0,2.38,,-9.85,-0.24,3,-0.21,2,-0.21,0,2,-1.05,-0.03,4,4,-0.07305,4,,,-17.23,25.66,24.34,44.68,91.3,,,13.66899,1,,,,,4.86,,-110.64,-99.11,-91.99701,-80.8,-70.367,984.583,,0,-524.90003,-536.59998,-536.59998,-536.79999,-416.29999,-17.23084,-17.23,-0.81045,0,,0,,,,,
Albertsons Companies,ACI,12526.17,NYSE,2,Consumer Staples,Consumer Products - Staples,YES,579.38,21.62,2.88,202502,2.34,2.45,0.5,6287.5,3635.5,4945.20019,724.40002,7457.70019,7783.3999,0,2747.5,5.81,69.79499,2.31069,0.93,,,NO,8992956,22.02,17.94,1.65,3.84,9.97,10.08,2.42,0.71,20250108,20250415,202411,0.68,3.46,6.25,7.58,23.75,0,0,47.37,0,0,0,15,174,0,0,0,9,52.63,10,19,2.05,9.24,0,2.78,90.2,11.36,0,0,0,0,0,0.4,7,0.63,6,0.49,0.02,6,2.29,0.07,7,7,0.02558,4,-5.05,5,-23.54,-14.54,2.25,,115.74,2.05,4.97,82581.53906,24698.14648,8.93,8.82,1.85,3.07,3.72,0.16,44.7,12.48,15.87399,5.1,6.40969,1789.45349,79237.7,57192,4525.2998,2081.10009,1589,1296,4137.8999,-14.37067,-23.54,,1.95,4.7571,0.6,1.3,1.79,95.14499,11.626,3.0308
ACI Worldwide,ACIW,5717.64,NSDQ,12,Computer and Technology,Computer - Software,YES,105.34,54.28,2.64,202412,2.73,3.27,1.13,990.82202,1391.40295,0,414.39898,602.62799,889.64898,0,1424.32702,13.58,38.44699,0.62461,1.64,1.64,0.95651,NO,689762,59.2,31.4,1.46,-0.35,3.21,4.57,2.62,1.08,20250227,20250429,202412,1,161.34,61.67,36.71,64.17,0,0,42.86,0,0,0,23,75,0,0,0,3,57.14,4,7,1.86,19.91,4.6,0,82.3,9.8,-5.06,106.25,12.5,,9.56,0.79,2,0.33,2,0.5,0.09,2,2.31,0.01,3,3,0.06825,2,21.14,,67.16,41.94,3.28,30.56,330,9.76,4.05,1702.15002,364.85,20.72,16.63,,15.34,4,3.59,18.77,10.88,7.73799,7.71,5.4404,1905.87927,1594.29,791.78302,446.45999,322.88,250.40899,203.11799,403.798,67.16291,67.16,154.91073,0,,0,12.74,17.45,4.1058,,0.49886
Accelleron Industries AG - Unsponsored ADR,ACLLY,4448.11,OTC,12,Industrial Products,Manufacturing - General Industrial ,NO,94.5,47.07,,202412,,,,,,,,,,,,,,,,,,NO,1433,57.77,46.75,-7.18,-1.13,-7.76,-7.51,,,,,,,,,,,0,0,66.67,0,0,0.33,,,-16.67,0,0,2,33.33,1,3,2.33,,,0,2.9,-2.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
Arcellx,ACLX,3733.99,NSDQ,12,Medical,Medical - Biomedical and Genetics,YES,54.94,67.96,-2,202412,-3.35,-1.96,0.32,599.30999,0,0,0,125.40499,0,0,454.79199,8.41,0,0,4.78,4.78,4.77899,NO,664284,106.53,49.74,-4.8,10.7,-13.7,-11.38,-2,-0.87,20250227,20250508,202412,-0.87001,12.78,11.11,-38.1,115.75,0,0,0,0,0,0,212,21,0,0,0,0,100,19,19,1.05,,-56.71,0,32.08,-7.71,-25.44,-12.59,-14.26,1306.19,10.65,-0.63,8,-0.86,7,-0.91,-0.19,6,-1.58,-0.18,10,10,-0.25547,9,,29.53,-51.86,-36.05,-67.6,98.36,611.22,-2.16,,82.68599,18.14999,,,,,8.08,34.59,-22.35,-22.35,-54.41501,-14.36,-42.829,373.39941,107.94,0,-114.52,-104.24901,-105.279,-107.348,-117.61901,-51.8574,-51.86,68.79159,0,,0,-99.46,-99.46,18.392,,0.14438
AECOM,ACM,12274.41,NYSE,9,Construction,Engineering - R and D Services,YES,132.64,92.54,4.52,202409,5.1,5.65,1.22,7176.05908,3487.08691,0,2952.80688,6374.08105,2450.33007,0,2370.40991,18.09,50.581,1.02353,1.14,1.13,0.66256,NO,1086482,116.97,82.37,-2.58,-4.85,-12.94,-13.37,4.78,1.31,20250203,20250505,202412,1.30999,6.45,4.1,19.09,123.8,0,0,0,0,0,0,1,40,0,0,0,0,100,10,10,1.1,18.15,0,1.12,29.39,-8.54,-2.73,0,0,0,0,1.1,2,1.15,1,1.28,,1,4.47,,2,2,0.01386,2,16.79,11.7,668.09,21.83,12.83,87.79,110.58,12.01,2.35,7566,1899,19.36,16.38,1.55,15.59,5.12,0.76,26.84,13.56,9.59099,5.47,4.0292,6137.20703,16105.5,15021.16015,1082.38403,903.57202,718.15197,402.26599,795.71197,627.00421,668.09,627.00421,0.52,18.69799,1.04,2.93,8.93,5.8232,,1.36919
Accenture,ACN,190610.69,NYSE,8,Computer and Technology,Computers - IT Services,YES,626.33,304.33,11.95,202408,12.71,13.52,1.24,20857.77929,24024.21093,0,13664.8496,18976.13085,78.62799,0,29168.25,48.19,14.314,0.16705,1.48,1.1,0.37905,YES,4371487,398.25,281.76,1.14,-14.72,-12.75,-13.49,12.33,2.82,20250320,20250619,202502,2.81999,1.48,6.21,-0.7,365.17,0,0,29.17,0,0,-0.08,13,133,3.27,0,0,7,70.83,17,24,1.63,23.95,-0.07,1.95,19.38,-9.4,0.06,-0.43,0.03,-12.08,-1.5,2.84,10,3.28,9,2.97,0.02,8,11.95,0.02,11,11,0.00814,10,12.31,7.79,9.3,2.4,6.33,116.3,104.78,1.22,10.17,68501.71875,17197.50195,24.68,22.51,3.08,19.54,6.32,2.84,26.49,24.38,29.28599,13.61,14.56799,17328.24414,64896.46,43734.14843,11926.33007,9758.29199,9699.32324,7264.7871,9759.91503,5.72257,9.3,10.03368,1.44,13.18,5.92,11.43,11.63,4.8256,,1.16999
