column_name
company_name
ticker
market_cap_mil
exchange
month_of_fiscal_yr_end
sector
industry
optionable
shares_outstanding_mil
last_close
last_yrs_eps_f0_before_nri
last_reported_fiscal_yr_yyyymm
f1_consensus_est
f2_consensus_est
beta
current_assets_mil
intangibles_mil
inventory_mil
receivables_mil
current_liabilities_mil
long_term_debt_mil
preferred_equity_mil
common_equity_mil
book_value
debt_total_capital
debt_equity_ratio
current_ratio
quick_ratio
cash_ratio
s_p_500_etf
avg_volume
c_52_week_high
c_52_week_low
pct_price_change_1_week
pct_price_change_4_weeks
pct_price_change_12_weeks
pct_price_change_ytd
c_12_mo_trailing_eps
last_qtr_eps
last_eps_report_date_yyyymmdd
next_eps_report_date_yyyymmdd
last_reported_qtr_yyyymm
actual_eps_used_in_surprise_sh
avg_eps_surprise_last_4_qtrs
previous_eps_surprise_pct
last_eps_surprise_pct
average_target_price
pct_rating_downgrades
pct_rating_upgrades
pct_rating_hold
rating_downgrades
rating_upgrades
change_in_avg_rec
rank_in_industry_of_abr
industry_rank_of_abr
pct_rating_change_4_weeks
pct_rating_strong_sell_or_sell
rating_strong_sell_or_sell
rating_hold
pct_rating_strong_buy_or_buy
rating_strong_buy_or_buy
of_brokers_in_rating
current_avg_broker_rec
p_e_f1
pct_change_f1_est_4_weeks
div_yield_pct
price_as_a_pct_of_52_wk_h_l_range
relative_price_change_ytd
pct_change_q0_est_4_weeks
pct_change_q1_est_4_weeks
pct_change_q2_est_4_weeks
pct_change_lt_growth_est_4_weeks
pct_change_f2_est_4_weeks
q0_consensus_est_last_completed_fiscal_qtr
of_analysts_in_q0_consensus
q1_consensus_est
of_analysts_in_q1_consensus
q2_consensus_est_next_fiscal_qtr
st_dev_q1_q1_consensus
of_analysts_in_q2_consensus
f0_consensus_est
st_dev_q2_q2_consensus
of_analysts_in_f0_consensus
of_analysts_in_f1_consensus
st_dev_f1_f1_consensus
of_analysts_in_f2_consensus
c_5_yr_hist_eps_growth
long_term_growth_consensus_est
pct_change_eps_f_1_f_2
last_yr_s_growth_f_0_f_1
this_yr_s_est_d_growth_f_1_f_0
pct_ratio_of_q1_q0
pct_ratio_of_q1_prior_yr_q1_actual_q_3
sales_growth_f_0_f_1
c_5_yr_historical_sales_growth
f1_consensus_sales_est_mil
q1_consensus_sales_est_mil
p_e_trailing_12_months
p_e_f2
price_cash_flow
price_book
price_sales
current_roe_ttm
current_roi_ttm
roi_5_yr_avg
current_roa_ttm
roa_5_yr_avg
market_value_analysts
annual_sales_mil
cost_of_goods_sold_mil
ebitda_mil
ebit_mil
pretax_income_mil
net_income_mil
cash_flow_mil
net_income_growth_f_0_f_1
c_12_mo_net_income_current_last_pct
c_12_mo_net_income_current_1q_last_1q_pct
c_5_yr_div_yield_pct
c_5_yr_hist_div_growth_pct
dividend
net_margin_pct
operating_margin_12_mo_pct
turnover
inventory_turnover
asset_utilization
report_date
